Rank,Name,School,Pos1,Pos2,Height,Weight,Change,Date
1,Nick Bosa,Ohio State,EDGE,,6'4,270,--,2019-02-24
2,Quinnen Williams,Alabama,DL3T,DL5T,6'4,285,--,2019-02-24
3,Ed Oliver,Houston,DL3T,,6'3,291,--,2019-02-24
4,Josh Allen,Kentucky,EDGE,OLB,6'5,260,--,2019-02-24
5,Dwayne Haskins,Ohio St,QB,,6'3,210,--,2019-02-24
6,Clelin Ferrell,Clemson,EDGE,,6'5,250,--,2019-02-24
7,Jonah Williams,Alabama,OT,,6'5,301,--,2019-02-24
8,Kyler Murray,Oklahoma,QB,,5'10,195,--,2019-02-24
9,D.K. Metcalf,Ole Miss,WRF,,6'4,225,--,2019-02-24
10,Devin White,LSU,ILB,,6'1,255,--,2019-02-24
11,Greedy Williams,LSU,CB,,6'1,182,-5,2019-02-24
12,Montez Sweat,Mississippi St,EDGE,,6'6,252,--,2019-02-24
13,Byron Murphy,Washington,CB,,5'11,182,--,2019-02-24
14,Deionte Thompson,Alabama,S,,6'2,196,-6,2019-02-24
15,Rashan Gary,Michigan,DL3T,DL5T,6'5,280,--,2019-02-24
16,Kelvin Harmon,NC State,WRF,,6'2,213,--,2019-02-24
17,J.J. Arcega-Whiteside,Stanford,WRF,,6'2,222,--,2019-02-24
18,Josh Jacobs,Alabama,RBF,,5'10,216,--,2019-02-24
19,Christian Wilkins,Clemson,DL3T,,6'4,300,--,2019-02-24
20,DeAndre Baker,Georgia,CB,,5'10,185,--,2019-02-24
21,Jachai Polite,Florida,EDGE,OLB,6'2,260,--,2019-02-24
22,Jawaan Taylor,Florida,OT,,6'5,328,+25,2019-02-24
23,Nasir Adderley,Delaware,S,,5'11,200,--,2019-02-24
24,Damien Harris,Alabama,RBF,,5'10,196,--,2019-02-24
25,Zach Allen,Boston College,DL5T,,6'4,280,--,2019-02-24
26,Noah Fant,Iowa,TE,,6'5,241,--,2019-02-24
27,N'Keal Harry,Arizona State,WRF,,6'3,216,--,2019-02-24
28,Drew Lock,Missouri,QB,,6'3,225,--,2019-02-24
29,Amani Oruwariye,Penn State,CB,,6'0,209,+20,2019-02-24
30,Jerry Tillery,Notre Dame,DL5T,DL3T,6'6,306,--,2019-02-24
31,Dre'Mont Jones,Ohio State,DL3T,,6'3,295,--,2019-02-24
32,Martez Ivey,Florida,OG,OT,6'5,310,+10,2019-02-24
33,Dexter Lawrence,Clemson,DL1T,,6'4,340,+10,2019-02-24
34,Devin Bush,Michigan,ILB,,5'11,232,+30,2019-02-24
35,Oshane Ximines,Old Dominion,EDGE,,6'3,241,+20,2019-02-24
36,Mack Wilson,Alabama,ILB,,6'2,236,+10,2019-02-24
37,David Montgomery,Iowa State,RBF,,5'11,219,--,2019-02-24
